DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,MinDepth,MinAccuracy,MinSource,MaxDepth,MaxAccuracy,MaxSource
141259,141259,,MiniPAT,00:00:00 13-Apr-2016,,,,0.000000,0.000000,Status,16.000000,16.000000,LightLoc
141259,141259,,MiniPAT,00:00:00 14-Apr-2016,,,,0.000000,0.000000,Status,,,
141259,141259,,MiniPAT,00:00:00 15-Apr-2016,,,,0.000000,0.000000,Status,,,
141259,141259,,MiniPAT,00:00:00 16-Apr-2016,,,,0.000000,0.000000,Status,,,
141259,141259,,MiniPAT,00:00:00 17-Apr-2016,,,,0.000000,0.000000,Status,,,
141259,141259,,MiniPAT,00:00:00 18-Apr-2016,,,,0.000000,0.000000,Status,,,
141259,141259,,MiniPAT,00:00:00 19-Apr-2016,,,,0.000000,0.000000,Status,,,
141259,141259,,MiniPAT,00:00:00 20-Apr-2016,,,,0.000000,0.000000,Status,,,
141259,141259,,MiniPAT,00:00:00 21-Apr-2016,,,,0.000000,0.000000,Status,,,
141259,141259,,MiniPAT,00:00:00 22-Apr-2016,,,,0.000000,0.000000,Status,,,
141259,141259,,MiniPAT,00:00:00 23-Apr-2016,,,,0.000000,0.000000,Status,,,
141259,141259,,MiniPAT,00:00:00 24-Apr-2016,,,,0.000000,0.000000,Status,,,
141259,141259,,MiniPAT,00:00:00 25-Apr-2016,,,,0.000000,0.000000,Status,,,
